"presence_id";"post_id";"produit_name";"forum_name";"discussion_url";"post_date";"pseudo";"message_for_analyse"
25000;2982601;"AQUAREST";"doctissimo";"http://forum.doctissimo.fr/sante/maladies-rares-orphelines/maladie-orpheline-papille-sujet_5616_1.htm";"2015-03-27 21:48:51";"Maladie-DR<U+200B>USEN";" Bonjour , Voici la longue histoire de mon fils<U+FFFD> Naissance a terme par cesarienne en urgence pour detresse f<U+FFFD>tale . C <U+FFFD> est un bebe qui pleure en permanence . La 1ere annee jamais malade ( 1 seule Rhino a 7 mois ) . Seulement il ne dort toujours pas . Il s <U+FFFD> endort puis se reveille en hurlant au bout d <U+FFFD> un quart d <U+FFFD> heure . Je signale ce probleme persistant aux medecins qui me diront que c <U+FFFD> est normal ( coliques , gencives , dents , etc<U+FFFD> ) A partir de 15 mois Rhino sur Rhino . 1ere otite gauche a 2 ans . ( 06 / 06 / 2005 ) Bilan des 24 mois le 08 / 07 / 2005 : Otite Gauche Trouble du sommeil depuis la naissance A 27 mois ( octobre 2005 ) : operation Kyste + Hernie du <VILLE> . A 30 mois ( debut 2006 ) , il commence a ronfler bruyamment et de ce fait , je me rends compte qu <U+FFFD> il s <U+FFFD> arrete de respirer pendant son sommeil . Ce qui le reveil systematiquement et l <U+FFFD> empeche donc de dormir . Je consulte en urgence et le medecin m <U+FFFD> informe qu <U+FFFD> il fait de L <U+FFFD> APNEE DU SOMMEIL . Le 20 / 02 / 2006 operation en urgence ( Amygdales + Drains + Vegetations ) . A partir de ce jour , il dormira enfin correctement . Plus aucun trouble du sommeil . Par contre , c <U+FFFD> est egalement a partir de cette periode qu <U+FFFD> il a commence a avoir des <U+FFFD> <U+FFFD>crises<U+FFFD> <U+FFFD> difficiles a comprendre a ce moment la . Symptomes : Il devenait tout blanc , Il avait les joues rouges , Il pleurait beaucoup , Il avait des bouffees de chaleur , Il faisait parfois des malaises , Il finissait par vomir , Puis par s <U+FFFD> endormir , et allait mieux subitement . Cela se produisait plusieurs fois par semaine , je ne comprenais pas ce qu <U+FFFD> il se passait car a cet age la ( 2 ans <U+FFFD> ) c <U+FFFD> est difficile a comprendre . Je l <U+FFFD> ai conduit plusieurs fois a l <U+FFFD> hopital , mais tous les bilans etaient normaux . Entre 2007 et 2010 , a la demande du Pediatre de l <U+FFFD> epoque qui le suivait on fera de nombreux examens : Bilan ORL ( 07 / 02 et 18 / 04 / 2007 ) : Suite operation , expulsion drains ok , examen normal 1er Bilan d <U+FFFD> ophtalmologie ( 03 / 04 / 2008 ) : HYPERMETROPIE Echographie abdominal ( 25 / 02 / 2009 ) : examen normal Analyses de sang ( 25 / 02 / 2009 ) : Cholesterol total 2 . 02g / l ( Persistante en janvier 2011 , Persistante en mars 2011 , Persistante en avril 2011 , Etant donne qu <U+FFFD> il n <U+FFFD> y a pas d <U+FFFD> amelioration , on consulte un nouvel ORL en Avril 2011 , qui decouvre une TUMEUR CHOLESTEATOME gauche . Operation le 18 / 05 / 2011 en urgence . Entre 2011 et 2012 il a en permanence des Otites , Angines et Migraines . 05 / 06 / 2012 IRM Cerebrale pour controle Cholesteatome : Pas de masse endocranienne suspecte , rhinite sans sinusite ou mucocele . Aout 2012 , prise en charge par le Centre de la douleur pour les migraines . Suivi tres regulier et traitement mis en place : Nocertone , Imigrane , Laroxyl , Voltarene . Entre 2012 et 2014 , otites frequentes : suivi regulier chez l <U+FFFD> ORL . Suivi regulier egalement pour les migraines . En 2013 il se plaint de fortes genes auditives en classe et a la cantine . 02 / 05 / 2013 bilan explorations fonctionnelles otologiques et otoneurologiques : PERTE AUDITIVE OREILLE GAUCHE avec composante transmissionnelle . 24 / 05 / 2013 nouveau bilan : DEFICIT AUDITIF TRANSMISSIONNEL GAUCHE AVEC ABSENCE DE STEREOPHONIE qui constitue un handicap certain . Debut 2014 , ( a 10 ans <U+FFFD> ) il dit que quelque chose ne va pas dans sa tete , que son cerveau ne fonctionne plus et qu <U+FFFD> il veut absolument refaire un test de QI . Le <DATE> avril 2014 , nouveau bilan des aptitudes intellectuelles . Bilan : Resultats quasi identiques a 2010 . IVT . Calme apparent mais en realite tension bien palpable . Lenteur graphomotrice qui demande beaucoup d <U+FFFD> attention et d <U+FFFD> energie . Caractere inquietant dans l <U+FFFD> investissement de la pensee : poids de ses soucis de sante . Juillet 2014 , nouveau bilan psychomoteur . Bilan : c <U+FFFD> est un <NOM> contrarie . Lenteur d <U+FFFD> ecriture et qualite alteree qui se degrade . PRAXIES toujours fragiles . Difficultes de structuration spatiale . Fragilite de memoire visuelle . Aout 2014 : il se plaint que ses lunettes deviennent genantes . Il pense qu <U+FFFD> il a une petite tache devant son <U+FFFD>il gauche . Consultation chez l <U+FFFD> ophtalmologiste . Suspicion <U+FFFD>deme papillaire bilateral avec atrophie <U+FFFD>il gauche , HTIC ? ? ? Hospitalisation du 10 au 12 / 10 / 2014 . Diagnostique identique par ophtalmologiste interne . Scanner cerebral ( sans injection ) normal , IRM cerebrale sans anomalie notable , bilan hepatique normal , ionogramme sanguin normal , NFS normale , bilan thyroidien normal . Mesure de pression realisee par ponction lombaire : 27cmH20 ( N < 15 ) : Confirmation HTIC avec retentissement ophtalmologique chez un enfant presentant des cephalees chroniques . Traitement au Diamox 250mgx2 / jour . Transfere au Service d <U+FFFD> Ophtalmologie pour un Bilan complet le 15 / 10 / 2014 . Diagnostique : DRUSENS PAPILLAIRES BILATERAUX avec NEOVASCULARISATION CHOROIDIENNE GAUCHE responsable de la baisse visuelle gauche ( 1 / 10<U+FFFD> ) et evolution possible en bilateralisation . Ce qui est responsable de cet aspect de <U+FFFD> <U+FFFD>pseudo <U+FFFD>deme papillaire<U+FFFD> <U+FFFD> A partir de decembre 2014 , modification du traitement contre la migraine : SPIFEN 400mg ALMOGRAN ( triptan ) EPITOMAX 15mg LAROXYL 25mg Au cours du mois de decembre il se plaint fortement de brulures aux yeux et d <U+FFFD> une grosse photophobie : impossible d <U+FFFD> ouvrir les yeux en exterieur . Janvier 2015 examen effectue au Service d <U+FFFD> Ophtalmologie de l <U+FFFD> hopital : Break up time abaisse . KERATITE SECHE . Plus de larmes . Traitement : XAILIN night nom_medicament Optive Verres photochromiques : OD + 0 . 25 ( + 0 . <SEQUENCE> ) OG 0 . 50 ( 0 . <SEQUENCE> ) puis modification verre gauche en verre neutre suite gene . Port de lunettes impossible , grosse gene , il voit des vagues . Voila ou nous en sommes a ce jour . Tous ces problemes sont vraiment tres difficiles a gerer au quotidien notamment dans sa scolarite ou dans la pratique d <U+FFFD> un sport . Tres peu de reponses sont apportees sur cette maladie rare et orpheline qu <U+FFFD> est la maladie de DRUSEN , mais on peut tout de meme constater des facteurs communs entre plusieurs temoignages vu sur des forum , notamment les migraines . Aucun traitement , prevention , lunettes , operation n est possible a ce jour et aucune explication n est donnee par les medecins sur cette maladie . J espere que je trouverai sur ce forum des cas similaires qui pourront temoigner de leurs experiences . Je vous souhaite bon courage a tous<U+FFFD>"
25002;2982611;"AQUAREST";"doctissimo";"http://forum.doctissimo.fr/sante/myopie-cataracte-vue/rosacee-occulairesujet_162309_1.htm";"2012-12-10 19:17:45";"angel95d";" je reviens de chez ma generaliste et elle veut pas specialement m oriente vers un ophtalmo . . . elle m a dit deja il faut voir si vous pouvez avoir un rdv , c est pas gagne et puis elle m a sorti le truc bateau que mes yeux son irrites a cause de l ecran de pc . . . j en ai marre , bon j ai reussi a repartir avec une ordo d nom_medicament , vismed et vitamine A Dulcis mais bon : /"
25004;2982672;"AQUAREST";"doctissimo";"http://forum.doctissimo.fr/sante/myopie-cataracte-vue/secheresse-oculaire-severesujet_162286_1.htm";"2012-12-12 13:52:43";"angel95d";" ah John36 , tu as essaye les gouttes nom_medicament , elles sont bien hein ? les meilleurs que j ai pu teste , et j en ai essaye pas mal Alors ses clous ? raccontes nous , tu les a fait poser quand ? ca fait mal ?"
25006;2982664;"AQUAREST";"doctissimo";"http://forum.doctissimo.fr/sante/myopie-cataracte-vue/secheresse-oculaire-severesujet_162286_1.htm";"2012-12-04 12:45:13";"angel95d";" De rien , je sais ce que c est de galerer avec ses yeux , et la secheresse oculaire . . j ai 31ans , la secheresse est venue petit petit au debut de mon adolescence , mais ca s est empire avec la prise de medicaments ( une pillule assez fortement dosee ) , qui avait pour effet secondaire l assechemens des yeux , j avais pris cela durant des annees , et j ai arreter depuis 3 / 4 ans cette pillule , mais la secheresse oculaire est restee . . . malheureusement En plus des yeux secs , je fais de la rosacee oculaire , et regulierement des keratites et autres orgelets . . . en ce qui concerne goujerot , je ne connais pas du tout ? les ophtalmos que j ai vu ne m en ont pas parle , ils m ont juste dis "" c est le travail sur ordinateur toute la journee qui vous fatigue les yeux "" , a part me prescrire des gouttes nom_medicament et de la Vitamine A Dulcis en creme , ils font rien en plus , j ai pris par moi meme les complements alimentaire en interne , car les yeux aussi ont "" faim "" a leur maniere . . . mais je desespere pas , je vais aller consulter prochainement ( quand j aurai trouve ) un ophtalmo specialiste en paupiere et cornee . . . on verra bien en attendant , j hydrate comme je peux mes yeux Message edite par angel95d le 04 / 12 / <SEQUENCE> : 41 : 27"
25007;2982662;"AQUAREST";"doctissimo";"http://forum.doctissimo.fr/sante/myopie-cataracte-vue/secheresse-oculaire-severesujet_162286_1.htm";"2012-12-03 23:56:34";"angel95d";" OH oui oui secheresse occulaire severe , j ai "" teste "" pas mal de larmes artificielles et elles n etaient pas assez hydratante , et puis un jour mon doc m a prescris les nom_medicament ( sur ordonance remboursees par la secu ) , c est des larmes artificielles en gel , vraiment TRES hydratante , et douce , c est un bonheur quand mes yeux sont tout sec http : / / www . eurekasante . fr / medicaments / <NOM> famille / medicament gp4161 nom_medicament . html sinon pour le collagene , c est en gellule chez Auchan , ca coute dans les 5 euros http : / / www . beaute test . com / collagene _ marin _ _ articulations _ laboratoires _ vitarmonyl . php ca participe a l amelioration du collagene dans la peau et dans le corps en general qui est un vecteur essentiel a l hydratation ( depuis j ai la peau moins seche , pour les yeux tjrs besoin des gouttes tout de meme , mais ca ne fait pas de mal ) http : / / www . beaute test . com / collagene _ marin _ _ articulations _ laboratoires _ vitarmonyl . php complement alimentaire en Selenium , vitamines E , A , C http : / / www . maboutiquesante . com / vitamines a c e selenium zinc . html ah oui sinon je met aussi de la creme a la vitamine A Dulcis ( demande a ton medecin , c est sur ordonnance , rembourse par la secue ) dans l oeil , pour "" renforcer "" les yeux . . . http : / / sante az . aufeminin . com / w / sante / <SEQUENCE> / medicaments / vitamine a dulcis . html comme je suis tatillonne avec l hygienne de mes yeux , je les desinfecte le soir avant de mettre mes gouttes + ma vitamine A , je les nettoies bien avec du ilast gel , surtout aux niveau des cils , et des paupieres http : / / www . parapharmacie <VILLE> . fr / acheter hygiene 2 , 1 , 127 , 11 , 86 , 206 , 1 , 2812 , 0 , 0 . htm c est un peu cheros , dans les 11euros le tube , mais ca dure hyper longtemps , j ai mon tube depuis 8 mois , tjrs pas fini ^^ bon courage ! Voila , avec tout ces apports en vitamine , collagene , etc , les yeux vont quand meme nettement mieux , mais il faut les aider toute l annee j utilise aussi ponctuellement de la lutheine , http : / / www . beaute test . com / luteine _ _ fatigue _ des _ yeux _ laboratoires _ vitarmonyl . php Indications : Pour les personnes qui sentent leurs yeux fatigues ( attention visuelle soutenue , travail sur ecran , conduite de nuit<U+FFFD> ) ca filtre la lumiere bleue leue qui <U+FFFD> <U+FFFD>agresse<U+FFFD> <U+FFFD> les photorecepteurs . ( tres efficace , si on est regulier dans le traitement bien sur ) ( desolee pour le roman lol ) Message edite par angel95d le 04 / 12 / <SEQUENCE> : 52 : 02"
25008;2982691;"AQUAREST";"doctissimo";"http://forum.doctissimo.fr/sante/myopie-cataracte-vue/yeux-secs-allergies-sujet_159782_1.htm";"2011-04-21 21:42:29";"Profil supprimé";"  "" Elle utilise du Cromoptic pour humidifier les yeux "" . Sauf erreur de ma part ce medicament sert contre les allergies . Sa fonction premiere n est donc pas d humidifier . Concernant Blink , ce sont des gouttes comme tu peux en trouver sous d autres marques . A ceci pres que Blink fait partie des marques non remboursees et n est pas forcement plus efficace qu une qui serait remboursee . Inutile de se ruiner avec des pseudo produits miraculeux . Au debut ca va au niveau financier mais a la longue tu te rendras compte que ca fait chere . Il y a toujours aussi efficace ( voire plus ) en remboursable . Et de toute facon s ils accomplissaient reellement des miracles la Secu les rembourserait car ca lui reviendrait moins chere que de rembourser d innombrables marques de larmes artificielles . A part ca il n y a pas vraiment de meilleures larmes artificielles car ce qui marche chez quelqu un ne marche pas chez un autre . En gros il faut un peu tout essayer pour voir quelle marque te convient le mieux ( ou plutot ta mere ) . A t elle deja essaye Vitamine A Dulcis ( pommade ) ? Quelles marques a t elle deja essaye ? Pour les marques de gouttes il serait bien qu elle essaie les grands "" classiques "" : Refresh , Artelac , Vismed Multi . . . Ils sont remboursables entierement pour la plupart . Sinon il y a aussi des gels : Celluvisc , nom_medicament ( Celluvisc est a mon sens meilleur ) . . . Et la pommade : Vitamine A Dulcis . Il y a aussi les complements alimentaires : Dioptec , Lacry + . . . Ce sont des capsules a prendre sur du moyen / long terme . Ca coute assez cher et l efficacite n a pas ete prouvee . Mais il parait que certains ont eu des effets positifs alors pourquoi pas essayer . . . Quand a Vyseo , certains ont bien aime , d autres trouvait que ca ne valait pas mieux ( ce n est pas forcement pire cela dit ) que des gouttes classiques . C est un peu chere et non rembourse . Ta mere se nettoie t elle parfois les yeux avec du serum physiologique leger ( genre pour bebe ) ou renforce ( Dacryoserum , Dacudose . . . ) ? A part ca comprend bien une chose : il n y a pas de remede a l heure actuelle . Tous ces traitements ne sont que des palliatifs ( ca remplace les larmes naturelles mais ca ne les fera pas revenir ) . Il faut juste esperer qu avec le moyen / long terme ca s ameliore tout seul ."
25009;2982705;"AQUAREST";"doctissimo";"http://forum.doctissimo.fr/sante/acne-psoriasis/psoriasis-peut-toucher-sujet_167681_1.htm";"2011-03-10 15:14:23";"dodo2811";" Bonjour , je lis tous vos messages sur le psoriasis . J en suis moi meme atteinte ; j en ai sur les coudes , dans le cuir chevelu et depuis environ 1 an , j en ai sur le visage ( coin du nez paupieres ) et depuis peu dans les yeux . Je suis allee voir un ophtalmo car la sensation est tres desagreable dans les yeux . J ai l impression qu on me brule l oeil tant cela pique . L ophtalmo m a donne de la pommade ophtalmo qui s appelle Sterdex ainsi que des gouttes nom_medicament . Tout ceci pour eviter la secheresse de l oeil , car la sensation de brulure lors de la crise correspondrait a la secheresse de l oeil . Ce qui est bizarre c est qu au moment de la crise ou je ne peux pas ouvrir l oeil , celui ci pleure . Ca a l air efficace car la douleur se passe et je peux rouvrir mon oeil . Pour ce qui est du pso sur la peau , j ai essaye plusieurs traitements ( tous a base de corticoide ! ! ) mais aucun ne s est revele efficace . Actuellement , j ai la pommade Daivobet pour la peau et Daivonet pour le cuir chevelu , mais je ne m en sers pas car en cas de crise , la lotion me brule encore plus . On m a dit d essayer les UV ou des traitements a base d argile . J espere avoir pu apporter qq reponses . Il est clair qu il n y a que les personnes atteintes de cette maladie qui peuvent comprendre notre mal etre surtout quand cela touche le visage . Moi j ai l impression d etre une bete curieuse , les gens vous devisagent c est genant !"
25010;2982709;"AQUAREST";"doctissimo";"http://forum.doctissimo.fr/sante/myopie-cataracte-vue/urgent-operation-cataracte-sujet_161115_1.htm";"2012-01-24 02:21:32";"esperanzam<U+200B>eredith";" Bonjour , Je dois me faire operer de la cataracte ( j ai <AGE> <AGE> ) , et j ai depuis 1 ans environ les yeux secs , je mets nom_medicament 3 fois par jour et parfois ce n est pas suffisant . Je redoute l operation , deja parce que c est une operation et que sa me stress et aussi car j ai peur que les yeux secs posent probleme pour l operation , que sa se passerait mal a cause de sa Qu en pensez vous ? Si vous vous etes fait operer par un bon ophtalmo , pouvez vous me communiquer son nom ? merci d avance"
25011;2982714;"AQUAREST";"doctissimo";"http://forum.doctissimo.fr/sante/myopie-cataracte-vue/yeux-brulants-sujet_159871_1.htm";"2011-05-09 11:17:03";"mado39";" Bonjour , Depuis deux ans j ai les yeux qui brulent lors que je fixe . J ai le trio myopie , astigmate , presbyte . De plus depuis un an environ , j ai des fils et petits "" rectangles "" bruns devant l <U+FFFD> <U+FFFD>il droit qui se deplacent toujours . Lors d une reunion de famille j ai vu sur les personnes que je regardais un rond noir ( comme sur les hindous ) . Cela a dure environ 10 minutes . Je suis allee chez l ophta 15 jours apres ( mon rendez vous etait fixe ) qui m a dit que pour les brulures cela etait du a la secheresse des yeux et le reste a l age , j ai <AGE> <AGE> . Prescription d nom_medicament , que j ai mis pendant 4 mois et c etait encore pire , puis apres avoir contacte l ophta m a change les gouttes par de l Artelac . Aucune amelioration . Chaque fois que je mets ces gouttes , mes yeux me brulent encore plus . Je fais beaucoup de <NOM> , <NOM> , etc . . . . et je me retrouve souvent a fermer un <U+FFFD>il ( les 2 je ne verrais plus ce que je fais ) tellement ca brule . Si je lis , c est pire . Qui a le meme probleme ? A t on pu vous soulager ? Merci , j accepte tout conseil . Je me suis entendu dire "" tu ne fais plus rien "" , ca , desole , je ne peux pas ! A bientot peut etre et bonne journee !"
25014;2982725;"AQUAREST";"doctissimo";"http://forum.doctissimo.fr/sante/myopie-cataracte-vue/secheresses-lasik-handicap-sujet_161042_1.htm";"2012-01-09 21:49:38";"JO_MLV";" Oui , juste les ophtalmos n ont pas d outils pour mesurer les variables propres a chacun ( celles de cicatrisation et de regenerescence du reseau innerve , ( les autres ok , pentacam . . . ) ) et donc nous arrivons rapidement a decider en mode pile ou face ou a l aveugle , en nous disant que nous devrions avoir de la chance , en tout cas pas moins que la moyenne . Heureusement j ai une acuite visuelle correcte maintenant , sans lunettes : 9 , 5 et 11 quand les yeux sont bien hydrates , mais cela se degrade rapidement a 7 , 5 9 , 5 avec la secheresse qui s accroit ; l acuite normale revient a la prochaine goutte d nom_medicament instillee . La qualite visuelle est bonne mais il s en est fallu de pu , car dans mon cas la keratometrie apres imperation etait tangente a 35 , or il ne faut pas descendre en dessous de 35 : Keratometrie du pentacam myopie a corriger > 35 ."
